J,k,K,S2,N,p,std
10.505887265956387,4.5,1.0609180884911045,2593.000000000001,100,0.75,4.559731851662081
10.584467585767966,4.75,1.0505826945984185,1670.6249999999998,100,0.75,3.851091400650638
10.469470101846412,5.0,1.0507039978051333,3151.000000000001,100,0.75,3.872385674564821
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,3.08352442438657
4.106109571031186,0.25,0.9918667989132762,3.2499999999999996,100,0.75,2.3575583381885337
8.660411640581927,0.5,0.9939698321180226,13.499999999999995,100,0.75,3.635493502642143
9.510873998216125,0.75,0.9986509492397515,44.874999999999986,100,0.75,5.055737463121791
9.731435644316196,1.0,0.9984453096689209,67.0,100,0.75,3.7096779165315676
9.782338400484399,1.25,1.0007781899106385,110.37500000000006,100,0.75,2.5748395912002486
9.810414425382271,1.5,1.0252043171329102,217.0,100,0.75,3.2213278782738812
9.874958812156034,1.75,1.0215237079242385,331.75000000000006,100,0.75,2.9422493097181768
9.905203549811313,2.0,1.01242198498901,305.0,100,0.75,3.152058993160276
10.25413330472799,2.25,1.028801417675422,476.87500000000017,100,0.75,3.4440203900641277
10.062565343978221,2.5,1.022524485086312,463.4999999999999,100,0.75,3.1239097363183403
10.205079736052355,2.75,1.0284232942989455,711.8749999999998,100,0.75,3.438075062568623
10.666063958983411,3.0,1.053208332441037,1224.9999999999998,100,0.75,2.332636054794199
10.09833903453736,3.25,1.0585788909381757,698.125,100,0.75,4.611749054948069
11.06614233903373,3.5,1.093187789198353,2622.500000000001,100,0.75,3.918554464745266
10.567278263429683,3.75,1.07035294134803,1716.625,100,0.75,3.2696230352823092
10.84830932537684,4.0,1.0793977459215032,2081.0,100,0.75,3.577711894720207
10.287542687551982,4.25,1.0227493657500693,1229.2499999999998,100,0.75,3.970602283456973
10.832667061222129,4.5,1.0768679920839737,2755.0,100,0.75,3.5933120147402087
10.564571544717326,4.75,1.0613010147297388,2347.5000000000005,100,0.75,2.9532141804479166
10.571086640214029,5.0,1.0455872762459237,2051.0,100,0.75,3.256222443567616
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,3.239100310079913
6.294361946697679,0.25,0.992424046675134,4.499999999999999,100,0.75,2.8861754613467276
8.68829677072377,0.5,0.996733809537197,15.499999999999998,100,0.75,3.9722324193116743
9.688096330437425,0.75,1.0003742827488138,68.49999999999999,100,0.75,3.69199749116014
9.56320176152959,1.0,1.000128621518112,62.99999999999999,100,0.75,3.954750490341686
9.796407491778652,1.25,1.0145134500487893,144.74999999999994,100,0.75,3.6015772218338977
9.895136502049516,1.5,1.0085773675130214,378.99999999999983,100,0.75,5.099735802483943
10.025143716003988,1.75,1.0067458154250244,264.375,100,0.75,3.6291912119936285
9.887929903297183,2.0,1.0135168828451409,224.99999999999997,100,0.75,3.4679317461774826
10.009058426585561,2.25,1.0180702728383533,385.75000000000006,100,0.75,4.342529290569653
10.037765315810333,2.5,1.0144451582148448,638.4999999999998,100,0.75,3.6380012077084674
10.339087839575901,2.75,1.0230445141162163,545.5,100,0.75,3.1733794705491203
